Dates,SP500,Cons Disc,Cons Staples,Energy,Financials,Health,Industrials,Info Tech,Materials,Telecom,Utilities
3/20/1991,0.003618046,-0.00029967,0.017675325,0.008002505,-0.002949371,0.015403914,-0.008504556,-0.007384254,-0.000153457,0.000702691,0.005735156
3/21/1991,-0.003618046,-0.007672095,0.00230618,-0.003931692,-0.003946075,0.001632273,-0.005079468,-0.015919154,-0.007857679,-0.000702691,0.000389838
3/22/1991,0.002914887,0.007672095,-0.000677736,0.005524537,0.002961015,0.00267582,0.000145486,-0.000521615,0.001391143,-0.001829312,0.014062026
3/25/1991,0.006503498,0.007167419,-0.006256821,0.010231514,0.017907039,0.010057307,0.005512853,0.011890983,0.001851852,0.005758039,0.009435235
3/26/1991,0.017343961,0.024543814,0.016777555,-0.000363614,0.036592346,0.027454929,0.0203358,0.018595328,0.010124339,0.009199953,0.006325132
3/27/1991,-0.002513637,-0.003053437,0.001474828,-0.013547531,0.003416152,-0.005498527,0,0.001251563,0.005479466,-0.0054261,-0.006705915
3/28/1991,-0.000332463,-0.002186749,0.002809554,-0.003076736,-0.001706617,-0.004850272,-0.000141774,0.000448238,0.002274279,0.005148554,0.000888269
4/1/1991,-0.010241564,-0.011891794,-0.00831773,-0.011778699,-0.012185747,-0.007490672,-0.00825745,-0.014206797,-0.012189698,-0.008362418,-0.010839869
4/2/1991,0.021906395,0.025805062,0.028683416,0.014363793,0.022843041,0.030958058,0.019956787,0.016671371,0.017626957,0.019404628,0.012360782
4/3/1991,-0.001386034,0.001006977,-0.006171643,-0.01125066,0.012215757,-0.000441891,-0.001121705,0.003419516,0.001354708,-0.003713131,-0.00164776
4/4/1991,0.00262948,0.006734997,0.005123837,-0.005735677,0.00710778,0.00397001,0.004339616,0.006746373,-0.000601866,-0.005664955,0.002154217
4/5/1991,-0.011673973,-0.013805224,-0.013456667,-0.005014427,-0.010604553,-0.01340666,-0.013075757,-0.014486105,-0.013486075,-0.011286959,-0.006094483
4/8/1991,0.008785867,0.014233581,0.003050198,0.010252653,0.00788839,0.009547142,0.007753616,0.007054208,0.013034437,0.009345211,0.005841286
4/9/1991,-0.013493884,-0.016698243,-0.013329976,-0.007616944,-0.016300155,-0.014130972,-0.015282595,-0.016823266,-0.014561155,-0.009485355,-0.009797139
4/10/1991,-0.001096962,-0.002907401,-0.002822014,0.001628155,-0.008328241,-0.003142539,0.004410621,0.008746198,-0.004440709,-0.005903869,0.002808991
4/11/1991,0.011953751,0.019034461,0.007240579,0.016260521,0.019933196,0.014729121,0.006368096,0.012269429,0.005509656,0.006044013,0.009390932
4/12/1991,0.007305561,0.009666031,0.006126817,0.019628792,-0.001823432,0.005633195,0.003379809,0.002083259,0.006086446,0.011286959,0.004914015
4/15/1991,0.002267707,-0.001557302,0.008988825,0.006977892,0.002885567,0.003847638,-0.000843882,-0.015668924,0.007857399,0.000969462,0.002009041
4/16/1991,0.016742509,0.015325432,0.01877255,0.010732276,0.03296592,0.021062553,0.014943369,0.018588062,0.012712352,0.013338115,0.007747134
4/17/1991,0.007298885,0.007783222,-0.000516729,0.002132702,0.01557868,0.00610509,0.012398561,0.006736912,0.019863818,0.008026708,0
4/18/1991,-0.005096746,-0.001662741,-0.010652218,-0.006173592,-0.009580564,-0.007180013,0.001231443,-0.001856006,0.005520862,-0.009804,-0.012399182
4/19/1991,-0.010990008,-0.007796225,-0.01725657,-0.002504026,-0.018549038,-0.019658521,-0.008928018,-0.008269988,-0.008000625,-0.005763705,-0.012554854
4/22/1991,-0.008421788,-0.011102637,-0.008272229,-0.003228702,-0.009855239,-0.0148069,-0.007895325,-0.004229532,-0.01278771,-0.003722858,-0.006401251
4/23/1991,0.002123762,0.001271097,-0.001072386,0.009655001,0.003146306,-0.000668151,0.001528521,0.005916349,0.00486978,-0.004291555,0.002309174
4/24/1991,0.00267744,0.010809398,-0.000805045,0.002724636,0.001942764,-0.008052834,-0.00013886,0.006570571,0.010397692,0.004291555,0.003581482
4/25/1991,-0.009156161,-0.014060974,-0.010524993,-0.014778007,-0.012015765,0.004258187,-0.007807094,-0.014817259,-0.010103315,-0.003598122,-0.006276037
4/26/1991,-0.000516359,-0.002694082,0.003385473,-0.001081146,-0.002875087,0,-0.002803085,-0.005629643,0.002351905,0.00290718,0.002310063
4/29/1991,-0.014043448,-0.019933262,-0.016905651,-0.006632524,-0.016193449,-0.01634668,-0.01427687,-0.019527948,-0.006924521,-0.012379322,-0.006688128
4/30/1991,0.004797881,0.003903149,0.009442424,0.008073792,0.000307977,0.001363017,0.004828869,-0.015078588,0.00648396,0.011134423,0.011675032
5/1/1991,0.013088391,0.01432484,0.01621219,0.010387533,0.015430755,0.025550471,0.01378944,-0.008098774,0.013857708,0.007171455,0.009268142
5/2/1991,0.000631247,0.003974455,-0.001206839,-0.005001201,0.008003063,0.001105828,0.002651596,0.008499556,0.003181952,-0.009804677,-0.003798435
5/3/1991,0.000864395,0.003394148,0.004417974,0.001312258,-0.009368458,0.004631169,0.003061511,-0.011600144,0.00317186,0.000277508,-0.001523423
5/6/1991,-0.001238419,-0.002261485,-0.004954814,-0.001431639,0.000303582,-0.000110017,0,0.006322406,0.000431748,-0.004588759,-0.001652998
5/7/1991,-0.006780005,-0.008383708,-0.007816751,-0.004067478,-0.007923247,-0.001541511,-0.003200893,-0.010088578,-0.010995481,-0.015732871,-0.002293287
5/8/1991,0.003149387,0.003561004,0.00094665,0.007285789,0.001223055,0,0.002227793,0.013473389,0.006235971,-0.00496772,0.006610754
5/9/1991,0.012893176,0.017617255,0.011557715,0.013240529,0.009428294,0.019316364,0.013126268,0.025358879,0.010355335,0,0.003667872
5/10/1991,-0.019603425,-0.020037357,-0.018339241,-0.023167059,-0.021881372,-0.016455447,-0.018984842,-0.017639511,-0.015573494,-0.027114439,-0.014752907
5/13/1991,0.002995745,0.006251796,0.001631765,-0.005060862,-0.00963788,0.003838355,0.003351958,0.013442209,0.006518456,0.013504888,0.00204787
5/14/1991,-0.013635659,-0.014265577,-0.014506892,-0.020873507,-0.013841051,-0.0137766,-0.012910648,-0.007361639,-0.010304133,-0.011606107,-0.00911958
5/15/1991,-0.008127105,-0.009382963,-0.006777811,-0.001234263,-0.001902347,-0.014869747,-0.007371737,-0.0412078,-0.008349862,0.001020929,0.002319888
5/16/1991,0.009963916,0.00837671,0.014741605,0.009953999,0.009318554,0.01531355,0.008077703,0.009125632,0.00615928,0.0078409,0.005904266
5/17/1991,0.001048093,0.000718856,0.001230097,0.003174218,0.000628634,-0.000887804,0.001551372,-0.001543122,-0.002048881,0.002455761,0.004086851
5/20/1991,-7.14E-05,-0.002302159,0.001501399,-0.001219661,-0.000157122,0.010711825,-0.001128032,-0.008908025,0.004677004,-0.007385451,-0.001530613
5/21/1991,0.008322415,0.013876197,0.009366796,0.00316803,0.00969515,0.020547551,0.00366146,-0.004715988,0.008132487,0.008250752,0.002804336
5/22/1991,0.002264205,0.00312057,0.002429151,-0.005734171,0.007132919,0.006970164,-0.00098446,0.024296957,-0.000578704,-0.005492931,-0.000509295
5/23/1991,-0.003232774,-0.00312057,-0.00148378,-0.006875411,-0.000772857,-0.005035096,0.000562667,0.004980966,-0.006242308,-0.009320003,-0.006388165
5/24/1991,0.006971624,0.010036129,0.007262977,0.003934593,0.01412583,-0.001504729,0.008262774,0.007106242,0.012877267,0.007724297,0.000384443
5/28/1991,0.012038219,0.01493711,0.010929071,0.005995002,0.0145303,0.011868624,0.013300279,0.010524642,0.027787441,0.003478264,0.006513017
